1,1806,1795,3267
2,1810,1796,3268
3,1808,1796,3268
4,1810,1797,3269
5,1808,1795,3268
6,1808,1792,3271
7,1808,1796,3268
8,1808,1793,3268
9,1812,1797,3268
10,1805,1793,3269
11,1810,1796,3270
12,1807,1792,3268
13,1811,1798,3269
14,1808,1796,3268
15,1809,1798,3269
16,1807,1795,3270
17,1808,1794,3269
18,1810,1794,3269
19,1809,1792,3270
20,1811,1797,3269
21,1808,1795,3270
22,1809,1796,3268
23,1805,1793,3268
24,1812,1796,3270
25,1810,1793,3267
26,1808,1795,3267
27,1808,1797,3267
28,1808,1792,3269
29,1810,1797,3270
30,1807,1793,3269
31,1811,1795,3271
32,1807,1796,3268
33,1812,1795,3270
34,1810,1797,3269
35,1806,1796,3268
36,1809,1797,3269
37,1807,1794,3269
38,1809,1796,3269
39,1809,1794,3271
40,1815,1797,3268
41,1810,1796,3268
42,1811,1798,3269
43,1810,1797,3271
44,1808,1797,3268
45,1810,1798,3268
46,1809,1796,3270
47,1812,1798,3268
48,1809,1794,3266
49,1811,1798,3264
50,1809,1797,3265
51,1812,1798,3264
52,1810,1798,3264
53,1811,1795,3265
54,1811,1798,3261
55,1808,1793,3261
56,1812,1799,3260
57,1807,1794,3261
58,1812,1799,3260
59,1810,1798,3261
60,1810,1799,3262
61,1807,1797,3259
62,1809,1796,3259
63,1810,1796,3259
64,1811,1795,3260
65,1812,1798,3260
66,1810,1796,3259
67,1811,1797,3259
68,1809,1796,3259
69,1955,766,3187
70,2965,82,3026
71,2924,85,2995
72,2919,86,2990
73,2918,87,2991
74,2922,87,2992
75,2926,88,2996
76,2921,87,2996
77,2926,85,2998
78,2923,86,2996
79,2924,85,2996
80,2924,88,2996
81,2925,88,2997
82,2926,87,2998
83,2926,87,2997
84,2925,88,2995
85,2926,88,2998
86,2925,88,2997
87,2927,86,2997
88,2926,86,2997
89,2924,85,2994
90,2924,87,2996
91,2925,88,2996
92,2923,86,2996
93,2930,87,2999
94,2927,87,2997
95,2927,88,2999
96,2925,87,2996
97,2925,86,2996
98,2927,88,2996
99,2927,88,2996
100,2925,89,2996
101,2923,88,2994
102,2924,86,2996
103,2925,87,2996
104,2927,86,2997
105,2925,85,2996
106,2923,87,2995
107,2925,89,2996
